Date,Category,Amount,Vendor,Description
2025-09-01,Monthly Rent,4996,Landlord,Monthly house rent payment
2025-09-01,Food & Dining,250,Zomato,Lunch delivery order
2025-09-01,Essentials,150,Big Bazaar,Daily grocery shopping
2025-09-02,Food & Dining,180,Swiggy,Dinner home delivery
2025-09-02,Lifestyle & Entertainment,300,BookMyShow,Movie tickets for weekend
2025-09-02,Essentials,450,Reliance Fresh,Weekly grocery shopping
2025-09-03,Food & Dining,120,Cafe Coffee Day,Morning coffee and snacks
2025-09-03,Healthcare,500,Apollo Pharmacy,Monthly medicine purchase
2025-09-03,Lifestyle & Entertainment,200,Spotify,Music streaming subscription
2025-09-04,Food & Dining,350,Domino's,Pizza order for family
2025-09-04,Essentials,800,DMart,Household items bulk purchase
2025-09-04,Savings & Investments,2000,SIP,Monthly mutual fund investment
2025-09-05,Food & Dining,280,McDonald's,Fast food lunch meal
2025-09-05,Healthcare,1200,Max Hospital,Doctor consultation fee
2025-09-06,Savings & Investments,1900,ULIP,Insurance cum investment
2025-09-07,Essentials,460,Westside,Fashion retail shopping
2025-09-08,Healthcare,280,Patanjali,Herbal products purchase
2025-09-09,Food & Dining,320,Sagar Ratna,South Indian food
2025-09-10,Lifestyle & Entertainment,260,Eros Now,Bollywood content subscription
2025-09-11,Essentials,340,Lifestyle,Department store shopping
2025-09-12,Food & Dining,200,Naturals Ice Cream,Premium dessert treat
2025-09-13,Healthcare,420,Fortis Pharmacy,Prescription medicine refill
2025-09-14,Savings & Investments,2100,Hybrid Fund,Balanced investment portfolio
2025-09-15,Food & Dining,270,Cafe Delhi Heights,Continental cuisine lunch
2025-09-16,Essentials,390,Central,Mall shopping experience
2025-09-17,Lifestyle & Entertainment,180,Shemaroo,Regional entertainment subscription
2025-09-18,Food & Dining,310,Giani,Ice cream parlor visit
2025-09-19,Healthcare,380,Mankind Pharma,Generic medicine purchase
2025-09-20,Essentials,450,Brand Factory,Discounted brand shopping
2025-09-21,Food & Dining,150,Vadilal,Ice cream family pack
2025-09-22,Lifestyle & Entertainment,340,Lionsgate Play,Hollywood content subscription
2025-09-23,Savings & Investments,1700,Small Cap Fund,Growth investment option
2025-09-24,Food & Dining,280,Cream Stone,Ice cream creation experience
2025-09-25,Essentials,520,Max Fashion,Trendy clothing purchase
2025-09-26,Healthcare,300,Zydus Wellness,Nutritional supplement purchase
2025-09-27,Food & Dining,360,Chili's,American cuisine dinner
2025-09-28,Lifestyle & Entertainment,250,Viacom18,Entertainment package subscription
2025-09-29,Essentials,480,Reliance Trends,Fashion shopping spree
2025-09-30,Food & Dining,220,Gelato Vinto,Artisan ice cream treat
2025-09-01,Healthcare,450,Lupin,Pharmaceutical product purchase
2025-09-02,Savings & Investments,2600,Large Cap Fund,Stable investment option
2025-09-03,Food & Dining,190,Keventers,Milkshake and snack combo
2025-09-04,Essentials,360,Unlimited,Fashion retail purchase
2025-09-05,Lifestyle & Entertainment,280,Epic On,Mythological content subscription
2025-09-06,Food & Dining,330,Smoke House Deli,Gourmet food experience
2025-09-07,Healthcare,320,Ranbaxy,Medical supplies purchase
2025-09-08,Essentials,420,Globus,Department store shopping
2025-09-09,Food & Dining,170,Frozen Bottle,Dessert bar visit
2025-09-10,Savings & Investments,1950,Mid Cap Fund,Moderate risk investment
2025-09-11,Lifestyle & Entertainment,300,Hoichoi,Bengali content subscription
2025-09-12,Food & Dining,250,Cafe Turtle,Book cafe dining experience
2025-09-13,Essentials,380,Shoppers Stop,Premium retail shopping
2025-09-14,Healthcare,280,Emami,Personal care product purchase
2025-09-15,Food & Dining,290,Imperfecto,Quirky cafe dining
2025-09-16,Lifestyle & Entertainment,220,Sun NXT,South Indian content subscription
2025-09-17,Savings & Investments,2300,Sectoral Fund,Thematic investment strategy
2025-09-18,Food & Dining,200,Rollick,Ice cream rolls treat
2025-09-19,Essentials,440,Lifestyle Home Centre,Home decor shopping
2025-09-20,Healthcare,360,Biocon,Diabetes care products
2025-09-21,Food & Dining,320,Hard Rock Cafe,Rock themed dining experience
2025-09-22,Lifestyle & Entertainment,260,Addatimes,Bengali entertainment subscription
2025-09-23,Essentials,500,Home Centre,Furniture shopping spree
2025-09-24,Food & Dining,180,Kwality Wall's,Ice cream brand purchase
2025-09-25,Healthcare,400,Dr. Lal PathLabs,Diagnostic services package
2025-09-26,Savings & Investments,2000,International Fund,Global investment exposure
2025-09-27,Food & Dining,270,Cafe Lota,Museum cafe dining
2025-09-28,Essentials,350,Fabindia,Ethnic wear purchase
2025-09-29,Lifestyle & Entertainment,290,Chaupal,Punjabi content subscription
2025-09-30,Food & Dining,240,Haagen-Dazs,Premium ice cream indulgence
2025-09-01,Healthcare,320,Cadila Healthcare,Pharmaceutical product purchase
2025-09-02,Essentials,460,W for Woman,Women's fashion shopping
2025-09-03,Food & Dining,210,Cafe Mocha,Coffee chain visit
2025-09-04,Savings & Investments,1800,Tax Saver Fund,ELSS investment option
2025-09-05,Lifestyle & Entertainment,240,Kooku,Premium content subscription
2025-09-06,Food & Dining,300,Farzi Cafe,Modern Indian cuisine experience
2025-09-07,Essentials,380,AND,Contemporary fashion purchase
2025-09-08,Healthcare,280,Himalaya Drug,Herbal healthcare products
