Date,Category,Amount,Vendor,Description
01/04/2025,Monthly Rent,4996,Landlord,Monthly house rent payment
01/04/2025,Food & Dining,280,Zomato,Breakfast delivery order
01/04/2025,Essentials,320,Big Bazaar,Monthly grocery shopping
02/04/2025,Food & Dining,220,Swiggy,Lunch home delivery
02/04/2025,Lifestyle & Entertainment,450,BookMyShow,Concert tickets booking
02/04/2025,Essentials,380,Reliance Fresh,Fresh produce shopping
03/04/2025,Food & Dining,150,Cafe Coffee Day,Morning coffee meeting
03/04/2025,Healthcare,650,Apollo Pharmacy,Quarterly medicine stock
03/04/2025,Lifestyle & Entertainment,299,Netflix,Streaming subscription renewal
04/04/2025,Food & Dining,420,Pizza Hut,Family dinner order
04/04/2025,Essentials,950,DMart,Bulk household supplies
04/04/2025,Savings & Investments,2500,SIP,Monthly mutual fund investment
05/04/2025,Food & Dining,320,KFC,Weekend fast food
05/04/2025,Healthcare,1500,Max Hospital,Health checkup package
06/04/2025,Savings & Investments,2200,ULIP,Insurance premium payment
07/04/2025,Essentials,520,Westside,Spring collection shopping
08/04/2025,Healthcare,350,Patanjali,Ayurvedic products purchase
09/04/2025,Food & Dining,380,Haldiram's,Traditional snacks order
10/04/2025,Lifestyle & Entertainment,399,Amazon Prime,Annual subscription renewal
11/04/2025,Essentials,420,Lifestyle,Summer wardrobe update
12/04/2025,Food & Dining,250,Baskin Robbins,Ice cream celebration
13/04/2025,Healthcare,480,Fortis Pharmacy,Prescription refill
14/04/2025,Savings & Investments,2800,Equity Fund,Growth investment
15/04/2025,Food & Dining,340,Barbeque Nation,Buffet dining experience
16/04/2025,Essentials,460,Central,Mall shopping spree
17/04/2025,Lifestyle & Entertainment,250,Disney+ Hotstar,Sports package subscription
18/04/2025,Food & Dining,290,Subway,Healthy lunch option
19/04/2025,Healthcare,420,Mankind Pharma,Generic medicine purchase
20/04/2025,Essentials,580,Brand Factory,Seasonal sale shopping
21/04/2025,Food & Dining,180,Amul,Dairy products purchase
22/04/2025,Lifestyle & Entertainment,450,PVR Cinemas,Premium movie experience
23/04/2025,Savings & Investments,2000,Debt Fund,Conservative investment
24/04/2025,Food & Dining,360,Taco Bell,Mexican cuisine experience
25/04/2025,Essentials,640,Max Fashion,Fashion haul shopping
26/04/2025,Healthcare,380,Zydus Wellness,Vitamin supplements
27/04/2025,Food & Dining,420,TGI Friday's,American dining experience
28/04/2025,Lifestyle & Entertainment,350,Zee5,Regional content subscription
29/04/2025,Essentials,520,Reliance Trends,Trendy outfit purchase
30/04/2025,Food & Dining,280,Cold Stone Creamery,Premium dessert treat
01/05/2025,Monthly Rent,4996,Landlord,Monthly house rent payment
01/05/2025,Food & Dining,350,Zomato,Labor Day special order
01/05/2025,Essentials,280,Big Bazaar,Holiday grocery shopping
02/05/2025,Food & Dining,240,Swiggy,Evening snack delivery
02/05/2025,Lifestyle & Entertainment,380,BookMyShow,Summer movie tickets
02/05/2025,Essentials,420,Reliance Fresh,Organic produce shopping
03/05/2025,Food & Dining,180,Cafe Coffee Day,Weekend coffee date
03/05/2025,Healthcare,580,Apollo Pharmacy,Summer health essentials
03/05/2025,Lifestyle & Entertainment,199,Spotify Premium,Music streaming upgrade
04/05/2025,Food & Dining,480,Domino's,Weekend pizza party
04/05/2025,Essentials,720,DMart,Monthly household stock
04/05/2025,Savings & Investments,2500,SIP,Monthly systematic investment
05/05/2025,Food & Dining,290,Burger King,Quick lunch meal
05/05/2025,Healthcare,1200,Fortis Hospital,Specialist consultation
06/05/2025,Savings & Investments,2400,ULIP,Life insurance premium
07/05/2025,Essentials,480,Westside,Summer collection purchase
08/05/2025,Healthcare,320,Patanjali,Herbal skincare products
09/05/2025,Food & Dining,360,Sagar Ratna,South Indian feast
10/05/2025,Lifestyle & Entertainment,299,SonyLIV,Sports streaming subscription
11/05/2025,Essentials,380,Lifestyle,Casual wear shopping
12/05/2025,Food & Dining,220,Naturals Ice Cream,Summer cooling treat
13/05/2025,Healthcare,450,Fortis Pharmacy,Monthly medicine refill
14/05/2025,Savings & Investments,2600,Hybrid Fund,Balanced portfolio addition
15/05/2025,Food & Dining,320,Cafe Delhi Heights,Continental lunch special
16/05/2025,Essentials,420,Central,Summer essentials shopping
17/05/2025,Lifestyle & Entertainment,250,Voot Select,Comedy shows subscription
18/05/2025,Food & Dining,340,Giani,Traditional ice cream parlor
19/05/2025,Healthcare,400,Mankind Pharma,Summer health supplements
20/05/2025,Essentials,520,Brand Factory,Mid-season sale shopping
21/05/2025,Food & Dining,160,Vadilal,Family ice cream pack
22/05/2025,Lifestyle & Entertainment,380,Lionsgate Play,Hollywood blockbusters
23/05/2025,Savings & Investments,1900,Small Cap Fund,High growth potential
24/05/2025,Food & Dining,300,Cream Stone,Ice cream customization
25/05/2025,Essentials,580,Max Fashion,Summer wardrobe essentials
26/05/2025,Healthcare,350,Zydus Wellness,Immunity boosters
27/05/2025,Food & Dining,420,Chili's,Weekend family dinner
28/05/2025,Lifestyle & Entertainment,280,Viacom18,Entertainment package
29/05/2025,Essentials,540,Reliance Trends,Trendy summer collection
30/05/2025,Food & Dining,250,Gelato Vinto,Artisan gelato experience
31/05/2025,Healthcare,480,Lupin,Prescription medicine purchase
01/06/2025,Monthly Rent,4996,Landlord,Monthly house rent payment
01/06/2025,Food & Dining,320,Zomato,Monsoon comfort food
01/06/2025,Essentials,350,Big Bazaar,Rainy season essentials
02/06/2025,Food & Dining,260,Swiggy,Hot soup delivery
02/06/2025,Lifestyle & Entertainment,420,BookMyShow,Monsoon movie marathon
02/06/2025,Essentials,480,Reliance Fresh,Fresh monsoon vegetables
03/06/2025,Food & Dining,200,Cafe Coffee Day,Rainy day coffee
03/06/2025,Healthcare,620,Apollo Pharmacy,Monsoon health kit
03/06/2025,Lifestyle & Entertainment,249,YouTube Premium,Ad-free streaming
04/06/2025,Food & Dining,450,Pizza Hut,Monsoon pizza special
04/06/2025,Essentials,820,DMart,Monsoon household supplies
04/06/2025,Savings & Investments,2500,SIP,Monthly investment routine
05/06/2025,Food & Dining,310,McDonald's,Comfort food craving
05/06/2025,Healthcare,1400,Max Hospital,Monsoon health checkup
06/06/2025,Savings & Investments,2300,ULIP,Insurance investment plan
07/06/2025,Essentials,460,Westside,Monsoon wear collection
08/06/2025,Healthcare,340,Patanjali,Monsoon immunity products
09/06/2025,Food & Dining,380,Haldiram's,Traditional monsoon snacks
10/06/2025,Lifestyle & Entertainment,350,Epic On,Mythology streaming
11/06/2025,Essentials,400,Lifestyle,Monsoon fashion essentials
12/06/2025,Food & Dining,240,Naturals Ice Cream,Monsoon dessert treat
13/06/2025,Healthcare,470,Fortis Pharmacy,Monsoon medicine stock
14/06/2025,Savings & Investments,2700,Mid Cap Fund,Moderate risk investment
15/06/2025,Food & Dining,340,Smoke House Deli,Gourmet monsoon meal
16/06/2025,Essentials,440,Central,Monsoon shopping spree
17/06/2025,Lifestyle & Entertainment,280,Hoichoi,Bengali content binge
18/06/2025,Food & Dining,320,Frozen Bottle,Monsoon dessert bar
19/06/2025,Healthcare,420,Ranbaxy,Monsoon health essentials
20/06/2025,Essentials,560,Brand Factory,Monsoon wardrobe update
21/06/2025,Food & Dining,180,Kwality Wall's,Monsoon ice cream comfort
22/06/2025,Lifestyle & Entertainment,320,Sun NXT,South Indian entertainment
23/06/2025,Savings & Investments,2100,Sectoral Fund,Thematic monsoon investment
24/06/2025,Food & Dining,290,Rollick,Ice cream rolls treat
25/06/2025,Essentials,620,Max Fashion,Monsoon collection haul
26/06/2025,Healthcare,380,Biocon,Diabetes care monsoon kit
27/06/2025,Food & Dining,360,Hard Rock Cafe,Monsoon rock dining
28/06/2025,Lifestyle & Entertainment,300,Addatimes,Bengali monsoon content
29/06/2025,Essentials,580,Home Centre,Monsoon home essentials
30/06/2025,Food & Dining,220,Haagen-Dazs,Premium monsoon indulgence
01/07/2025,Monthly Rent,4996,Landlord,Monthly house rent payment
01/07/2025,Food & Dining,340,Zomato,Independence month special
01/07/2025,Essentials,380,Big Bazaar,Patriotic shopping spree
02/07/2025,Food & Dining,280,Swiggy,Tricolor themed meal
02/07/2025,Lifestyle & Entertainment,450,BookMyShow,Patriotic movie tickets
02/07/2025,Essentials,520,Reliance Fresh,Fresh produce shopping
03/07/2025,Food & Dining,220,Cafe Coffee Day,Freedom coffee celebration
03/07/2025,Healthcare,680,Apollo Pharmacy,Summer health package
03/07/2025,Lifestyle & Entertainment,299,Eros Now,Bollywood patriotic content
04/07/2025,Food & Dining,480,Domino's,Independence pizza party
04/07/2025,Essentials,880,DMart,Patriotic decoration supplies
04/07/2025,Savings & Investments,2500,SIP,Monthly patriotic investment
05/07/2025,Food & Dining,330,KFC,Freedom feast meal
05/07/2025,Healthcare,1600,Fortis Hospital,Independence health checkup
06/07/2025,Savings & Investments,2600,ULIP,Freedom insurance plan
07/07/2025,Essentials,500,Westside,Tricolor fashion collection
08/07/2025,Healthcare,360,Patanjali,Swadeshi product purchase
09/07/2025,Food & Dining,400,Sagar Ratna,Traditional Indian cuisine
10/07/2025,Lifestyle & Entertainment,380,Shemaroo,Regional patriotic content
11/07/2025,Essentials,420,Lifestyle,Independence day outfit
12/07/2025,Food & Dining,260,Giani,Traditional ice cream celebration
13/07/2025,Healthcare,490,Fortis Pharmacy,Patriotic health essentials
14/07/2025,Savings & Investments,2800,Large Cap Fund,Stable patriotic investment
15/07/2025,Food & Dining,360,Cafe Delhi Heights,Independence day special
16/07/2025,Essentials,480,Central,Patriotic shopping celebration
17/07/2025,Lifestyle & Entertainment,320,Lionsgate Play,Freedom themed movies
18/07/2025,Food & Dining,340,Cream Stone,Tricolor ice cream creation
19/07/2025,Healthcare,440,Mankind Pharma,Swadeshi medicine purchase
20/07/2025,Essentials,600,Brand Factory,Independence fashion sale
21/07/2025,Food & Dining,200,Vadilal,Patriotic ice cream flavors
22/07/2025,Lifestyle & Entertainment,360,Viacom18,Independence entertainment
23/07/2025,Savings & Investments,2200,Small Cap Fund,Freedom growth investment
24/07/2025,Food & Dining,320,Rollick,Tricolor ice cream rolls
25/07/2025,Essentials,660,Max Fashion,Patriotic wardrobe collection
26/07/2025,Healthcare,400,Zydus Wellness,Independence wellness package
27/07/2025,Food & Dining,440,Chili's,Freedom celebration dinner
28/07/2025,Lifestyle & Entertainment,340,Epic On,Patriotic mythology content
29/07/2025,Essentials,620,Reliance Trends,Independence fashion trends
30/07/2025,Food & Dining,280,Gelato Vinto,Tricolor gelato special
31/07/2025,Healthcare,520,Lupin,Patriotic health investment
01/08/2025,Monthly Rent,4996,Landlord,Monthly house rent payment
01/08/2025,Food & Dining,360,Zomato,Raksha Bandhan special order
01/08/2025,Essentials,420,Big Bazaar,Festival shopping preparation
02/08/2025,Food & Dining,300,Swiggy,Sibling celebration meal
02/08/2025,Lifestyle & Entertainment,480,BookMyShow,Festival movie celebration
02/08/2025,Essentials,560,Reliance Fresh,Festival grocery shopping
03/08/2025,Food & Dining,240,Cafe Coffee Day,Rakhi celebration coffee
03/08/2025,Healthcare,720,Apollo Pharmacy,Festival health essentials
03/08/2025,Lifestyle & Entertainment,329,Hoichoi,Festival content binge
04/08/2025,Food & Dining,520,Pizza Hut,Rakhi pizza celebration
04/08/2025,Essentials,920,DMart,Festival household supplies
04/08/2025,Savings & Investments,2500,SIP,Monthly festival investment
05/08/2025,Food & Dining,350,Burger King,Festival fast food treat
05/08/2025,Healthcare,1800,Max Hospital,Festival health package
06/08/2025,Savings & Investments,2700,ULIP,Festival insurance premium
07/08/2025,Essentials,540,Westside,Rakhi outfit shopping
08/08/2025,Healthcare,380,Patanjali,Festival wellness products
09/08/2025,Food & Dining,420,Haldiram's,Traditional festival sweets
10/08/2025,Lifestyle & Entertainment,400,Sun NXT,Festival entertainment package
11/08/2025,Essentials,460,Lifestyle,Festival fashion collection
12/08/2025,Food & Dining,280,Naturals Ice Cream,Festival cooling treat
13/08/2025,Healthcare,510,Fortis Pharmacy,Festival medicine stock
14/08/2025,Savings & Investments,2900,Hybrid Fund,Festival investment boost
15/08/2025,Food & Dining,380,Smoke House Deli,Independence day gourmet
16/08/2025,Essentials,520,Central,Post-festival shopping
17/08/2025,Lifestyle & Entertainment,360,Addatimes,Festival content celebration
18/08/2025,Food & Dining,340,Frozen Bottle,Festival dessert special
19/08/2025,Healthcare,460,Ranbaxy,Post-festival health care
20/08/2025,Essentials,640,Brand Factory,Festival wardrobe expansion
21/08/2025,Food & Dining,220,Kwality Wall's,Festival ice cream joy
22/08/2025,Lifestyle & Entertainment,380,Viacom18,Festival entertainment binge
23/08/2025,Savings & Investments,2300,Mid Cap Fund,Festival growth investment
24/08/2025,Food & Dining,320,Rollick,Festival ice cream celebration
25/08/2025,Essentials,700,Max Fashion,Festival fashion haul
26/08/2025,Healthcare,420,Biocon,Festival health management
27/08/2025,Food & Dining,400,Hard Rock Cafe,Festival rock dining
28/08/2025,Lifestyle & Entertainment,350,Lionsgate Play,Festival movie marathon
29/08/2025,Essentials,660,Home Centre,Festival home decoration
30/08/2025,Food & Dining,260,Haagen-Dazs,Festival premium indulgence
31/08/2025,Healthcare,540,Cipla Health,Festival wellness conclusion
01/09/2025,Monthly Rent,4996,Landlord,Monthly house rent payment
01/09/2025,Food & Dining,250,Zomato,Lunch delivery order
01/09/2025,Essentials,150,Big Bazaar,Daily grocery shopping
02/09/2025,Food & Dining,180,Swiggy,Dinner home delivery
02/09/2025,Lifestyle & Entertainment,300,BookMyShow,Movie tickets for weekend
02/09/2025,Essentials,450,Reliance Fresh,Weekly grocery shopping
03/09/2025,Food & Dining,120,Cafe Coffee Day,Morning coffee and snacks
03/09/2025,Healthcare,500,Apollo Pharmacy,Monthly medicine purchase
03/09/2025,Lifestyle & Entertainment,200,Spotify,Music streaming subscription
04/09/2025,Food & Dining,350,Domino's,Pizza order for family
04/09/2025,Essentials,800,DMart,Household items bulk purchase
